Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Копитко,Венедикт,Петрович,чоловік,1976-04-24,Живописець,село Глобине,"узвіз Героїв Крут, буд. 115 кв. 21, Василівка, 87485",+380 (40) 861-14-18,ievhentryhub@example.com
Валенко,Макар,Олексійович,чоловік,1946-09-17,Мінералог,селище Чугуїв,"проспект Тіниста, буд. 323 кв. 7, Вижниця, 14015",004 280-09-37,feofan29@example.org
Шелест,Кирило,Петрович,чоловік,1958-05-26,Дерун,село Калинівка,"вулиця Аеродромний 1-й, буд. 57, Алчевськ, 49576",021 080 38 48,vzaporozhets@example.com
Бандура,Владислав,Андрійович,чоловік,1975-07-21,Візажист,село Зимогір'я,"провулок Кедровий, буд. 27, Рівне, 93729",519-67-69,uvlasiuk@example.com
Тимчук,Яків,Петрович,чоловік,1954-04-17,Патологоанатом,хутір Шахтарське,"узвіз Лірний, буд. 910, Нова Каховка, 77416",415-81-15,xpalii@example.org
Дрозд,Данна,Сергіївна,жінка,1982-06-04,Біолог,селище Ананьїв,"шосе Лінія 37-ма, буд. 9, Покровськ, 14236",+380 (19) 649-81-04,xhuk@example.net
Колесниченко,Олександр,Андрійович,чоловік,2001-04-18,Стоматолог,село Коломия,"вулиця Український 2-й, буд. 27 кв. 25, Таврійськ, 94850",988-06-77,lonishchuk@example.com
Євтушенко,Орест,Іванович,чоловік,1955-12-08,Географ,хутір Богодухів,"набережна Вітчизняна, буд. 89 кв. 636, Ромни, 59869",377 60 14,lysenkoleopold@example.net
Шахрай,Климент,Володимирович,чоловік,1996-03-24,Детектив,селище Зміїв,"площа Шептицького, буд. 5 кв. 828, Федорівка, 12861",075 767 64 19,iustym38@example.net
Вітер,Любов,Іванівна,жінка,1943-04-28,Редактор,село Калинівка,"провулок Валіховський, буд. 850, Вовчанськ, 95374",073 031 88 18,havryliukviktor@example.org
Дахно,Орест,Олексійович,чоловік,1939-01-01,Режисер,село Камінь-Каширський,"сквер Кузнечна, буд. 22, Судова Вишня, 03456",084 907-59-57,skabanenko@example.org
Канівець,Аркадій,Петрович,чоловік,1978-05-17,Прокурор,місто Теребовля,"площа Іспанська, буд. 341 кв. 76, Мукачево, 46603",256 28 05,symon09@example.net
Данько,Емілія,Андріївна,жінка,1959-08-26,Професор,селище Тернівка,"проспект Нескучна, буд. 1, Сновськ, 63811",+380 63 443 87 64,vabramenko@example.com
Іваненко,Богуслава,Іванівна,жінка,1993-02-15,Біолог,село Кам'янське,"проспект Лютнева, буд. 37, Мар'їнка, 37590",825 35 55,andriishynavenedykt@example.com
Смик,Гордій,Андрійович,чоловік,1968-09-07,Кінокритик,місто Радехів,"сквер Героїв оборони Одеси, буд. 685 кв. 846, Міусинськ, 15483",026 622 69 48,zhaliloolena@example.net
Цушко,Амалія,Андріївна,жінка,1998-07-05,Сантехнік,хутір Нова Одеса,"сквер Романтиків, буд. 6, Прип'ять, 68395",+380 00 848-25-63,tkolisnychenko@example.org
Кибкало,Одарка,Олексіївна,жінка,1996-09-18,Шериф,селище Бахмач,"парк Ігоря Ветрогонова, буд. 2, Бахмут, 31481",+380 31 258-94-31,shapovaldan@example.com
Семенченко,Феофан,Володимирович,чоловік,1940-06-16,Державний службовець,хутір Сновськ,"сквер Івана Микитенка, буд. 244, Новодружеськ, 16900",+380 (66) 881-69-32,maksym20@example.net
